Rachaad White,TB,30.5463388043067,23.3697182241723,0.510983998043743,0.358412009630782,8,39,1,0.625,5,9.6,0,0,0,Playoffs
Jahmyr Gibbs,DET,23.7188175671698,16.3298122528549,0.176699495194173,0.0785323390196933,14,94,0,0.785714285714286,11,10.2727272727273,0,0,0,Playoffs
Justice Hill,BAL,21.868435826605,16.9686027806883,0.27065744794944,0.17900004359906,9,45,0,0.666666666666667,6,6.83333333333333,0,0,0,Playoffs
Devin Singletary,HOU,19.4696879217766,8.65816930608214,0.220420465085693,0.0211571463567311,9,52,0,0.888888888888889,8,5.25,0,0,0,Playoffs
Ronnie Rivers,LA,17.0332634191235,18.394831285769,0.856415908607247,0.935938815660805,3,35,0,1,3,15.6666666666667,0,0,0,Playoffs
Latavius Murray,BUF,16.8355718735527,10.7597181630495,0.406844965182101,0.210062738708597,6,40,0,0.833333333333333,5,7,0,0,0,Playoffs
David Montgomery,DET,15.7161829340477,14.1328812265527,0.193475428503879,0.16003930116697,7,45,0,0.857142857142857,6,5.83333333333333,0,0,0,Playoffs
Kyle Juszczyk,SF,14.1070268437169,15.4685947103624,0.620849556660964,0.69413183363382,3,33,0,0.666666666666667,2,2.5,0,0,0,Playoffs
D'Andre Swift,PHI,9.36657872905602,10.49531263719,0.614492167600728,0.705222825495369,4,32,0,1,4,6.5,0,0,0,Playoffs
Emanuel Wilson,GB,9.26706326689201,9.52957326967833,2.85815554368755,2.94304011278237,1,11,0,1,1,16,0,0,0,Playoffs
Rico Dowdle,DAL,7.0306230198845,6.80581207781568,0.189525389422649,0.179039066307992,3,14,0,0.666666666666667,2,6.5,0,0,0,Playoffs
Chase Edmonds,TB,6.62623394293056,3.93547550786208,0.179912436855985,0.0506456798955023,4,26,0,0.75,3,10.6666666666667,0,0,0,Playoffs
Isiah Pacheco,KC,4.99755540002703,4.67946436592401,0.0194443764305361,0.00939650788695297,6,27,0,1,6,4.83333333333333,0,0,0,Playoffs
Kyren Williams,LA,4.97923160405338,5.49868535494788,0.699181647487657,0.78656351601031,1,9,0,1,1,8,0,0,0,Playoffs
Jaylen Warren,PIT,4.41646992958581,3.5083496359186,0.224908100374363,0.150200402934811,2,16,0,1,2,10.5,0,0,0,Playoffs
Dare Ogunbowale,HOU,1.45148381343142,3.47980543095004,0.796040497992605,2.1018652399635,1,13,0,1,1,8,0,0,0,Playoffs
Najee Harris,PIT,1.40540189409103,3.61263773288367,-0.0588562665592428,0.0660992437209391,3,15,0,0.666666666666667,2,5,0,0,0,Playoffs
Gus Edwards,BAL,-0.591983158080078,0.970930223342727,-0.176450848571182,-0.0760405641315606,3,15,0,0.666666666666667,2,7.5,0,0,0,Playoffs
Kenneth Gainwell,PHI,-0.705326128124808,0.095705773343628,-0.198324024645592,-0.130289963629556,2,10,0,1,2,5.5,0,0,0,Playoffs
Ty Johnson,BUF,-2.98768708967641,-0.787263762690208,-0.322294986783517,-0.186870492450604,3,14,0,0.333333333333333,1,11,0,0,0,Playoffs
Andrew Beck,HOU,-4.76672788863158,-6.77048149746175,-0.692596642609309,-0.925552328434981,1,0,0,0,0,,0,0,0,Playoffs
Jeff Wilson,MIA,-4.8517502715124,-6.72846764197463,-0.673823947377945,-0.880925418802177,2,6,0,0.5,1,9,0,0,0,Playoffs
De'Von Achane,MIA,-6.91321386438749,-8.13918948541703,-0.325759809959229,-0.35898253806049,6,21,0,0.5,3,8.66666666666667,0,0,0,Playoffs
Jerome Ford,CLE,-7.01524843129363,-2.9674644530217,-0.45108480052352,-0.270677010988968,4,15,0,1,4,6.25,0,0,0,Playoffs
Jason Cabinda,DET,-7.81659718801467,-7.65274618468187,-1.18158666320875,-1.15971984075159,1,0,0,1,1,3,0,0,0,Playoffs
Kareem Hunt,CLE,-8.47738305576481,-11.9323828883658,-0.379947813299034,-0.478384273997188,6,9,1,0.833333333333333,5,3.8,0,0,0,Playoffs
Clyde Edwards-Helaire,KC,-8.79425779001457,-11.7249831275582,-0.478275684926477,-0.591534581468866,4,7,0,1,4,4.75,0,0,0,Playoffs
Tony Pollard,DAL,-13.5120782623126,-12.2993305442868,-0.367048996557529,-0.346528758746952,9,29,0,0.777777777777778,7,4.71428571428571,0,0,0,Playoffs
James Cook,BUF,-15.7903364021378,-17.2517104429476,-0.452249907434554,-0.481294570930656,9,26,0,0.888888888888889,8,5.75,0,0,0,Playoffs
Raheem Mostert,MIA,-17.2413009609965,-19.1180183314587,-1.17234252373107,-1.28488525448803,2,-3,0,0.5,1,3,0,0,0,Playoffs
Christian McCaffrey,SF,-20.3196647049118,-17.6556922639019,-0.346903126673299,-0.319570137182168,17,72,0,0.647058823529412,11,5.45454545454545,0,0,0,Playoffs
Aaron Jones,GB,-20.882242531469,-20.7658833481326,-0.622520901866932,-0.619823406380328,7,21,0,0.571428571428571,4,6.5,0,0,0,Playoffs
