Jameson Williams,DET,32.105182961809,31.8049199032399,6.37850434254536,6.31523798360417,1,42,1,0,Playoffs
George Pickens,PIT,9.25789027017222,10.2106199032399,1.5645088175821,1.76525191007842,1,15,0,0,Playoffs
Deven Thompkins,TB,8.92358452030434,9.08005436760033,1.33309589469363,1.36324199820451,1,10,0,0,Playoffs
Stefon Diggs,BUF,8.68432723601344,9.72661876477477,1.5048691315166,1.73182982694422,1,7,0,0,Playoffs
Travis Kelce,KC,7.92874783178236,8.10837490850358,1.00490276426473,1.03641745972781,1,5,0,0,Playoffs
John Metchie,HOU,7.32004365782304,6.31553828913265,0.837938342367347,0.66995973236153,1,9,0,0,Playoffs
Jayden Reed,GB,6.61580134770176,6.31553828913265,0.720171282032281,0.66995973236153,1,9,0,0,Playoffs
Trey Palmer,TB,6.32213965463228,6.31553828913265,0.671063647019759,0.66995973236153,1,9,0,0,Playoffs
Jaylen Waddle,MIA,5.39939577234435,6.55700804683195,0.580335510880453,0.787548339860704,1,9,0,0,Playoffs
Brandin Cooks,DAL,3.82804043693103,4.30448656990658,0.420422594709235,0.520811274584199,1,6,0,0,Playoffs
Nico Collins,HOU,1.37021743244433,1.45547774104242,-0.138070321062006,-0.122633368077786,1,4,0,0,Playoffs
CeeDee Lamb,DAL,-1.36578017780185,-1.48416138523556,-0.550836538012784,-0.565110367641293,1,5,0,0,Playoffs
Deebo Samuel,SF,-3.72560445644236,-5.48083307385494,-0.487371542824811,-0.535056136799998,3,7,0,0,Playoffs
Jauan Jennings,SF,-4.31207451050956,-3.83562837753401,-1.10724493115498,-1.027571131836,1,-1,0,0,Playoffs
Zay Flowers,BAL,-6.39732215577085,-4.19741835252192,-0.958863345675256,-0.761921886877101,2,4,0,0,Playoffs
Amon-Ra St. Brown,DET,-6.55389430658856,-6.60047111114355,-0.977984604170901,-0.98219056448831,1,2,0,0,Playoffs
Puka Nacua,LA,-25.6189546212309,-25.4612754766714,-29.9893476831531,-29.8071464268208,1,-2,0,1,Playoffs
Mecole Hardman,KC,-33.5331284483901,-33.6823649489226,-3.64217397181329,-3.65666461254033,2,-5,0,1,Playoffs
