,,,,
ARI,56.7,62.4,50.7,62.9
ATL,51.8,64.5,54.7,64
BAL,49.7,63.3,62.6,65.2
BUF,53.8,65.6,59.9,59.9
CAR,60.2,65.4,50.3,59.5
CHI,51.6,65.7,63,60.9
CIN,64.2,61.7,56.9,62.6
CLE,56.4,70.9,58.6,58.9
DAL,58.3,65.8,54.2,60.3
DEN,55.0,59.8,56.9,63.6
DET,56,66.9,60.7,61
GB,58.1,61.9,53.5,62.4
HOU,58.6,62.6,57.5,63.8
IND,57.2,64.5,54.7,67.6
JAC,59.0,65.5,61.4,63.9
KC,61,64.2,59.2,61.3
LA,57.3,64.5,60.4,63.8
LAC,60.9,64.1,58.4,65.9
LV,59.5,59,55.4,64.4
MIA,56.6,62.8,59.5,61.3
MIN,62.9,62.6,59.3,64.9
NE,59,60.1,57.4,64.3
NO,57.8,65.9,56,62.1
NYG,57.2,61.9,56,64.1
NYJ,65,61.9,51.8,64.3
PHI,52.6,65.4,63.4,64.9
PIT,52.7,60.4,57.8,63.6
SEA,62.1,58.9,55.8,67.4
SF,51.3,60.2,64.5,61.1
TB,58.1,62,61.5,63
TEN,55.9,59.2,55.6,64.4
WAS,66.2,63.2,57,65.5
